n_neighbors,weights,algorithm,solver name,r2 score,rmse score
1,uniform,brute,marchrw,0.8404460018866728,0.6025099482602239
1,uniform,brute,mphaseSATm,0.7747705990541591,0.758037692166529
1,uniform,brute,satime11,0.47801843381033615,1.0346923264270242
1,uniform,brute,tnm,0.5322822693431521,0.9503708441522903
1,uniform,brute,mxc09,0.5532071553962283,1.041638082319155
1,uniform,brute,gnoveltyp2,0.5895892892674601,0.9320509955372904
1,uniform,brute,sattime,0.5154653600323524,1.0058327530723727
1,uniform,brute,sattimep,0.5206332561664325,0.9719170658660401
1,uniform,brute,clasp2,0.6284830620325724,0.8963794562820901
1,uniform,brute,clasp1,0.6292177947866029,0.8837460293450065
1,uniform,brute,picosat,0.6592052352008565,0.9985062356753212
1,uniform,brute,mphaseSAT,0.7535005946908364,0.7909611017277001
1,uniform,brute,sapperlot,0.6347184585863519,0.9478303034708445
