max_features,n_estimators,min_samples_split,solver name,r2 score,rmse score
auto,10,5,marchrw,0.7078454605025047,0.815298598669935
auto,10,5,mphaseSATm,0.6855652953568829,0.8956606550467859
auto,10,5,satime11,0.5284095174645442,0.9834814232569338
auto,10,5,tnm,0.6026335687207272,0.8759852136207062
auto,10,5,mxc09,0.5603727561754828,1.0332514981875343
auto,10,5,gnoveltyp2,0.6314461087954297,0.8832442766978238
auto,10,5,sattime,0.5826727922549664,0.9334728862852997
auto,10,5,sattimep,0.6485986531830434,0.8321410912457656
auto,10,5,clasp2,0.6457042589011153,0.875357689607685
auto,10,5,clasp1,0.6471515653910958,0.8621089058739978
auto,10,5,picosat,0.6134176754036784,1.0634701898433143
auto,10,5,mphaseSAT,0.7006491388395031,0.87164058613949
auto,10,5,sapperlot,0.5500412486304546,1.0519693286855603
auto,10,5,sol,0.6521258633984024,0.7499069124878853
auto,10,10,ebglucose,0.5354979409955241,0.8532618362744209
auto,10,10,ebminisat,0.5823066795901557,1.0466665639268264
auto,10,10,glucose2,0.5895090236004236,0.8207405053291155
auto,10,10,glueminisat,0.5990942710098928,1.0166287787371309
auto,10,10,lingeling,0.5336022508044865,0.9673413897240724
auto,10,10,lrglshr,0.600733032286696,1.00909490904404
auto,10,10,minisatpsm,0.5479307421816911,0.9083926044731361
auto,10,10,mphaseSAT64,0.6003496364908499,0.98502749542465
auto,10,10,precosat,0.5358132890585734,1.0647713011400886
auto,10,10,qutersat,0.5566119096118781,0.9016239453256417
auto,10,10,rcl,0.5615529816465139,0.8838404286792159
auto,10,10,restartsat,0.558808697329716,1.07189460725777
auto,10,10,cryptominisat2011,0.5528504665115932,1.0205132002379003
auto,10,10,spear-sw,0.5898523707625065,0.9864969429867367
auto,10,10,spear-hw,0.5562386660336328,0.993569979748868
auto,10,10,eagleup,0.6913091523742975,0.7063914790372205
auto,10,10,sparrow,0.6862151181500629,0.8498358498093869
auto,10,10,marchrw,0.6236908702126749,0.9253004087132921
auto,10,10,mphaseSATm,0.6279823191153868,0.9742267506969696
auto,10,10,satime11,0.627191880916891,0.8744325714675858
auto,10,10,tnm,0.6621943906183179,0.8076712350894829
auto,10,10,mxc09,0.5471669281148815,1.0486554380959936
auto,10,10,gnoveltyp2,0.617625192006257,0.8996528653004553
auto,10,10,sattime,0.5988458756971864,0.915206274547298
auto,10,10,sattimep,0.5789556067933554,0.9108758786588042
auto,10,10,clasp2,0.573624151200131,0.9602822110353986
auto,10,10,clasp1,0.6007605783296723,0.917032532491208
auto,10,10,picosat,0.5958705128381352,1.0873380701945907
auto,10,10,mphaseSAT,0.6873370164972594,0.8908106939818848
auto,10,10,sapperlot,0.5766344236970116,1.0204095102569442
auto,10,10,sol,0.5985874312715792,0.8055486412773595
auto,20,0.2,ebglucose,0.2986014639465203,1.0485060174761052
auto,20,0.2,ebminisat,0.28602234032072316,1.3684278272520434
auto,20,0.2,glucose2,0.39276190174543224,0.998236776154048
auto,20,0.2,glueminisat,0.350087915895258,1.294400208972816
auto,20,0.2,lingeling,0.3475638811108014,1.1441172807199316
auto,20,0.2,lrglshr,0.2815023399436948,1.3536706210260716
auto,20,0.2,minisatpsm,0.32949743940030807,1.1062959509935812
auto,20,0.2,mphaseSAT64,0.2962613995198876,1.307115406673065
auto,20,0.2,precosat,0.3038731372883561,1.303929713650066
auto,20,0.2,qutersat,0.39499736011806985,1.0532029338472277
auto,20,0.2,rcl,0.3498041604324733,1.0763100507704386
auto,20,0.2,restartsat,0.38840985790898175,1.2620276005883644
auto,20,0.2,cryptominisat2011,0.3698452280252357,1.2114788882702947
auto,20,0.2,spear-sw,0.36448910955609415,1.2279682547078168
auto,20,0.2,spear-hw,0.3037619825233544,1.2445220588357608
auto,20,0.2,eagleup,0.3856510778928589,0.9965317165729718
auto,20,0.2,sparrow,0.3017746654958786,1.2677010243191538
